event_id_cnty,event_date,notes,topic_manual
RUS12674,07 November 2023,"On 7 November 2023, people protested in front of the Schroeder's House in St. Petersburg - Vasileostrovsky (Vasileostrovskiy, Saint Petersburg) demanding that the authorities force the construction company that bought the House to properly restore it instead of gutting it for construction.",cultural
RUS12656,06 November 2023,"On 6 November 2023, people protested in Kazan (Republic of Tatarstan) demanding that bureaucrats respect citizens' constitutional rights and halt the construction of a landfill and a nuclear power plant in the region.",environmental
RUS12585,30 October 2023,"On 30 October 2023, around 50 people protested in Novosibirsk (Novosibirsk) in support of current Russian political prisoners and to commemorate the victims of Soviet repressions.",political
RUS12505,29 October 2023,"On 29 October 2023, people protested in Makhachkala (Republic of Dagestan) in support of Palestine. Several protesters were detained by the police.",political
RUS12583,29 October 2023,"On 29 October 2023, people took part in the 'Returning the Names' ceremony in Tomsk (Tomsk) to mark the Day of Remembrance of the Victims of Political Repressions and read out the names of regional victims of Soviet repressions. This year, local authorities in all regions forbade people taking part in the ceremony from actually reading out the names.",political
RUS12483,28 October 2023,"On 28 October 2023, 500 people protested in front of the regional administration's building in Cherkessk (Cherkesskiy, Republic of Karachay-Cherkessia) demanding that the administrators not let any Israeli refugees into the region and deport all Jewish people currently living in the region. They also demanded that the regional government organize a fundraiser to support Palestinians. 34 of the protesters were detained by the police.",political
RUS12475,27 October 2023,"On 27 October 2023, activists protested in Kaliningrad (Kaliningrad) against animal cruelty within a circus that travels to the region.",environmental
RUS12479,22 October 2023,"On 22 October 2023, people protested in front of Israel's Embassy in Moscow - Central (Tsentralnyy, Moscow) against Israel's actions in Gaza during the war. 8 people were detained.",political
RUS12335,20 October 2023,"On 20 October 2023, several tens of people protested in Khasavyurt (Republic of Dagestan) in support of Palestine, but were dispersed by the police. The government has denied dispersing or detaining the protesters.",political
RUS12332,19 October 2023,"On 19 October 2023, people protested in Chernogorsk (Republic of Khakassia) demanding that the local authorities relocate them to new buildings from their current apartment buildings that are on the brink of collapse. They have packed up their tent city on this day, following the pleas from National Front, a pro-governmental organization.",social
RUS12331,18 October 2023,"On 18 October 2023, people protested in front of the Kirov meat factory in St. Petersburg - Moskovsky (Moskovskiy, Saint Petersburg) to demand that the building of the factory, an example of the architecture of the first five-year plan, not be demolished to make way for skyscrapers.",cultural
RUS12470,15 October 2023,"On 15 October 2023, 3 individuals demonstrated on Simferopolskoye shosse in Moscow - Novomoskovsky (Novomoskovskiy, Moscow) against Israel. They burned the flag of Israel and filmed the demonstration, later posting it to several Islamist telegram channels. All three were later detained.",political
RUS12325,13 October 2023,"On 13 October 2023, people protested in Chernogorsk (Republic of Khakassia) demanding that the local authorities relocate them to new buildings from their current apartment buildings that are on the brink of collapse. They have set up a tent city in front of their decrepit buildings.",social
RUS12121,04 October 2023,"On 4 October 2023, people protested in Dorogomilovo district in Moscow - Western (Zapadnyy, Moscow) against the construction of townhouses that would see a local kindergarten demolished. The police detained 3 of the protesters.",social
RUS12165,02 October 2023,"On 2 October 2023, people protested in Moscow - Eastern (Vostochnyy, Moscow) against cutting down Saltykovsky park, which is a legally protected territory.",environmental
RUS12161,01 October 2023,"On 1 October 2023, people protested in Yoshkar-Ola (Republic of Mari El) against the deforestation of a local pine grove for the construction of a hotel",environmental
RUS11928,29 September 2023,"On 29 September 2023, Left Front activists participated in a series of single-person protests in front of the Investigative Committee's and Prosecutor General's offices in Moscow - Central (Tsentralnyy, Moscow) in support of political prisoners. They demanded that the government stop persecuting representatives of 'left-leaning and patriotic opposition.'",political
RUS12037,29 September 2023,"On 29 September 2023, activists protested in Yekaterinburg (Ekaterinburg, Sverdlovsk) against the construction of a hotel on an 18th century historical site. They were dispersed by the police.",cultural
RUS11931,24 September 2023,"On 24 September 2023, people protested in Novomoskovsk (Tula) against the closure of the radiology department of the local oncology clinic. The protesters argued that the closure of the department has forced cancer patients to travel to Tula for treatment where the wait times are twice as long as in Novomoskovsk.",social
RUS11929,23 September 2023,"On 23 September 2023, 3 female activists participated in a series of single-person protests in Novosibirsk (Novosibirsk) in support of political prisoners in Russia.",political
RUS11629,15 September 2023,"On 15 September 2023, healthcare workers protested in Novosibirsk (Novosibisk) demanding that the region raise their salaries, which have fallen significantly after Russia cancelled its Covid bonuses for healthcare workers.",economic
RUS11505,13 September 2023,"On 13 September 2023, Left Front activists staged a series of coordinated one-person protests in Moscow - Central against the use Remote Electronic Voting during the Moscow mayoral election, disputing the results.",political
RUS11511,10 September 2023,"On 10 September 2023, owners of apartments built by a real estate developer in the Pervyi suburb recorded a public video address to the governor and the city administration in Kostroma, protesting the delayed construction despite the their continuous mortgage payments.",social
RUS11391,08 September 2023,"On 8 September 2023, local residents of Zelenogradskiy gathered near the prefecture of the Moscow - Zeleogradsky district to demand from the officials not to cut down the grove of the KROST plant. According to the activists, the authorities of the Moscow region handed over the green area directly under the windows of residential buildings and schools free of charge to a large developer - the KROST concern",environmental
RUS11393,07 September 2023,"On 7 September 2023, more than 50 people gathered near Sarykum hotel to protest against construction of a landfill between the Sarykum dune and the village of Novaya Urada. Police detained 8 activists from the protest who were then taken to the Kumtorkalinskiy district police department.",environmental
RUS11515,06 September 2023,"On 6 September 2023, a group of people gathered near an Art Gallery in Perm to protest against the visit of the British consul . The protesters were holding banners saying 'Consul, you have blood on your hands' and 'Enemy, get out.'",political
RUS11387,03 September 2023,"On 3 September 2023, ten locals of the Muskatnyi village protested against a landfill by blocking access roads to it in Bolshoy Log.",environmental
RUS11388,03 September 2023,"On 3 September 2023, people picketed in support of the imprisoned ex-governor Sergey Furgal in Khabarovsk.",political
RUS11389,03 September 2023,"On 3 September 2023, locals of the Akademgorodok neighborhood protested in Novosibirsk against excessive building and erasure of green spaces.",environmental
RUS11337,29 August 2023,"On 29 August 2023, a group of people gathered in Tomsk to protest against the growth of housing and communal services tariffs in the region.",economic
RUS11334,28 August 2023,"On 28 August 2023, residents of the Obolensk in the Moscow Region gathered and demanded from the Governor of their district to return bus routes to Moscow that were reduced from four times an day to two times a day.",social
RUS11229,23 August 2023,"On 23 August 2023, residents gathered in Konchezero, protesting against cutting down a local forest.",environmental
RUS11093,15 August 2023,"On 15 August 2023, activists staged a series of pickets in Borisoglebsk, demanding the resignation of a local deputy.",political
RUS11058,13 August 2023,"On 13 August 2023, activists staged pickets in Dyadkovo against the reconstruction of a local road.",environmental
RUS11061,13 August 2023,"On 13 August 2023, around 200 protesters blocked a road on Makhachakala in the Kumtorkalinskiy district, demanding the authorities solve the problem of prolonged disruptions of water and electricity. (coded to Kumtorkala)",social
RUS11052,12 August 2023,"On 12 August 2023, protesters blocked a road in Makhachkala, demanding to restore the disrupted electricity supply.",social
RUS11283,12 August 2023,"On 12 August 2023, KPRF activists organised a car rally in Chita against rising fuel prices.",economic
RUS11014,09 August 2023,"On 9 August 2023, protesters blocked roads in Makhachkala, demanding the authorities solve the problem of prolonged power outages.",social
RUS10879,30 July 2023,"On 30 July 2023, 3 activists staged pickets in the center of Moscow, protesting against the arrest of a prominent sociologist on terrorism charges. Police arrested the protesters.",political
RUS10851,29 July 2023,"On 29 July 2023, activists staged pickets in Khabarovsk in support of the jailed former governor of the region. Police arrested 5 people.",political
RUS10826,28 July 2023,"On 28 July 2023, people staged pickets in Borisoglebsk, demanding the resignation of a deputy.",political
RUS10777,23 July 2023,"On 23 July 2023, relatives of the employees of a rehabilitation center in Perm staged a picket in their support, after the center was closed down and several employees were arrested.",social
RUS10779,23 July 2023,"On 23 July 2023, residents protested in Ulan-Ude against the construction of a penitentiary center in their neighborhood.",social
RUS10715,16 July 2023,"On 16 July 2023, around 25 animal rights activists staged pickets in Kazan against the law authorizing the euthanasia of stray animals.",legal
RUS10718,16 July 2023,"On 16 July 2023, around 350 protested in Yoshkar-Ola against the construction of high-rise buildings on the site of private houses in their neighborhood.",environmental
